cliente_id,cliente_sk,cliente_nome,cliente_altura_cm,cliente_peso_kg,cliente_profissao,cliente_data_nascimento,cliente_faixa_etaria
60,60,Xavier Matos,163,88,Vendedor,3/6/1985,30-44
61,61,Maria Andreia Torres,166,98,Estudante,3/8/1994,30-44
62,62,Flor Simões-Magalhães,185,101,Designer,11/3/1986,30-44
63,63,Carlota Assunção,199,81,Professor,9/17/1993,30-44
64,64,Madalena Carneiro,189,53,Arquiteto,4/1/1970,45-59
65,65,Vicente Freitas,153,79,Vendedor,9/13/1979,45-59
66,66,Miriam Carvalho,151,86,Farmacêutico,5/7/1975,45-59
67,67,Salomé Jesus,155,72,Arquiteto,9/9/1984,30-44
68,68,Amália Mota,191,88,Professor,10/13/1966,45-59
69,69,Lorena Loureiro,153,94,Polícia,2/6/1963,60+
70,70,Miguel Reis,178,64,Farmacêutico,1/7/1986,30-44
71,71,Álvaro Paiva-Vieira,167,92,Contabilista,10/3/1971,45-59
72,72,Gabriela Ramos,175,78,Engenheiro,9/15/1963,60+
73,73,Sara Soares,193,85,Vendedor,4/24/1983,30-44
74,74,Margarida Campos,183,62,Gestor,12/12/1971,45-59
75,75,Mafalda do Vieira,159,81,Gestor,9/28/1990,30-44
76,76,Valentina Oliveira,185,56,Estudante,9/21/1987,30-44
77,77,Marcos Branco,163,108,Psicólogo,5/21/1994,30-44
78,78,Teresa Sousa,180,100,Médico,3/5/2003,18-29
79,79,André Santos,197,71,Professor,12/21/1963,60+
80,80,Lúcia Pinheiro,164,77,Gestor,12/1/1979,45-59
81,81,Álvaro Fonseca,157,51,Bombeiro,10/15/1956,60+
82,82,Enzo do Araújo,163,91,Enfermeiro,5/27/1990,30-44
83,83,Camila Alves Nunes,172,94,Enfermeiro,9/13/1995,18-29
84,84,Tiago Martins,189,106,Designer,9/19/1998,18-29
85,85,Edgar Carneiro Cruz,170,102,Designer,1/4/1981,30-44
86,86,Erica Domingues,165,55,Engenheiro,8/27/1981,30-44
87,87,Gabriela Alves,194,77,Dentista,12/17/1977,45-59
88,88,Cristiano Ramos,167,77,Gestor,2/18/1958,60+
89,89,Eva do Ribeiro,196,93,Gestor,9/30/2002,18-29
90,90,Fábio Coelho,173,93,Engenheiro,2/5/1964,60+
91,91,Enzo Cardoso,175,69,Estudante,8/13/1962,60+
92,92,Angela Abreu,174,79,Professor,9/9/1996,18-29
93,93,Miguel Borges,194,60,Estudante,4/13/1970,45-59
94,94,Isabela Carvalho,190,107,Polícia,6/12/1978,45-59
95,95,Erica de Fonseca,178,104,Psicólogo,10/9/1959,60+
96,96,Letícia Teixeira,164,77,Arquiteto,4/13/1972,45-59
97,97,Micael Leal,194,74,Advogado,6/10/1978,45-59
98,98, Maria Torres,150,88,Motorista,10/19/1959,60+
99,99,Gonçalo Moura,174,82,Arquiteto,6/15/2005,18-29
100,100,Bianca Leite,156,50,Estudante,9/25/1998,18-29
