id_cliente,nome,email,password_sha256,altura_cm,peso_kg,profissao,data_nascimento
60,Xavier Matos,freitastome@example.net,dcc4cf0c83b944fb54dce02c5e507663053659685890e607b0875a8172cd14bd,163,88,Vendedor,3/6/1985
61,Maria Andreia Torres,nmendes@example.net,f118a710f2de9435e6b9a240a0c60f87d99fc0ae72a7d3a734e5512e7d020367,166,98,Estudante,3/8/1994
62,Flor Simıes-Magalh„es,alvaromiranda@example.net,8b32c614f4dcdd1395781cbce0570a89b84b114898d03f4423cb924df85a8183,185,101,Designer,11/3/1986
63,Carlota AssunÁ„o,mneves@example.com,643730955d1525b38d55557d1cdbc5dfdae366dd72d4121a8f4a5106811a78c5,199,81,Professor,9/17/1993
64,Madalena Carneiro,bryanmartins@example.net,a0d011514a091f0f170ddab5f9d0d994dffc3b3983939bf78dd3d0f8f2309f47,189,53,Arquiteto,4/1/1970
65,Vicente Freitas,ritanunes@example.org,c359e53a5abcf68026cf74ac415c8048ef2c74b9acc83c3965cf41e23bf37951,153,79,Vendedor,9/13/1979
66,Miriam Carvalho,yasmin92@example.com,19894dd6632f08839d9e1790f836363b8bb14ef045dfbc54784a0dc6b4f5481a,151,86,FarmacÍutico,5/7/1975
67,SalomÈ Jesus,angelo59@example.com,e1a3ffb951f8d3fa5ab2450bb0a3b0c5fddf47aa02646b95d1dae595ee22a414,155,72,Arquiteto,9/9/1984
68,Am·lia Mota,guilherme76@example.net,ee16bcd2d4e234e2f7967a12d0c2abc65bef0f24df16eb534e48ba6899056e13,191,88,Professor,10/13/1966
69,Lorena Loureiro,juliaalves@example.org,c9b7842065246fe46a6b4597f82fff54494f0f5451197f74670730467525692a,153,94,PolÌcia,2/6/1963
70,Miguel Reis,lucia58@example.org,a4e6e399ab54096da3fee65dd0ddcd1c3e23ff5821ff831d19407b0d0ecb85d9,178,64,FarmacÍutico,1/7/1986
71,¡Ålvaro Paiva-Vieira,alvesalexandre@example.com,133dcf589c48ef85d2027a376e01797ca9c71b4075da6d824dc2ceff28359aeb,167,92,Contabilista,10/3/1971
72,Gabriela Ramos,martimribeiro@example.org,78b0d4e6f15d9a8c25b9928ad2c9996ea8d31994d357ceda134dc284b66a790f,175,78,Engenheiro,9/15/1963
73,Sara Soares,rafael61@example.net,e6e108aab4598f530421ce29b0df5534e25061292f1271ce1242a94719016644,193,85,Vendedor,4/24/1983
74,Margarida Campos,mara16@example.com,f8f1ffddc9bd2f32dd235dbc3d1109b076a1f60e6bf816a959edd9577fa71a97,183,62,Gestor,12/12/1971
75,Mafalda do Vieira,martimgaspar@example.com,e40085f88e9791616f73330286e4f92287531ce9e1ac6cd3e6c9c5e7adc56b1f,159,81,Gestor,9/28/1990
76,Valentina Oliveira,danielamorim@example.net,d1e20d41d2ad8a7e17625c7922bf7c780c09d560fdd5f5dd3b732143b6952420,185,56,Estudante,9/21/1987
77,Marcos Branco,xleite@example.net,1b55895966dd9c16373c86e8ca50a144d4bd6de9213f8a9583b47df51cbfdb5a,163,108,PsicÛlogo,5/21/1994
78,Teresa Sousa,madalenamagalhaes@example.net,c1d902b8a1050fcc766c0119c8bd09b29cd9019b407f26098557a433c050b637,180,100,MÈdico,3/5/2003
79,AndrÈ Santos,cruzmateus@example.com,efa3fc8b4b63001a5c0ce5c9d5f0ff6a20f19956e809e5902b1a5d7e7505656e,197,71,Professor,12/21/1963
80,L˙cia Pinheiro,helena93@example.org,8ce8600cce2f85c8b0fcd6a8efdd725abcb61d1c1b88812aa9a1c17769209cf5,164,77,Gestor,12/1/1979
81,¡Ålvaro Fonseca,ucardoso@example.org,7f01958479768293ec2ec4f6ead246dba64e262a5ef7f71087d75166028fbf6d,157,51,Bombeiro,10/15/1956
82,Enzo do Ara˙jo,lopessandro@example.com,be8ec1c7933b37a1681fe46cd24168d605acf1ac6a1a87c0ca6e9ef46e947376,163,91,Enfermeiro,5/27/1990
83,Camila Alves Nunes,diegoaraujo@example.com,e47bdbb7c281c7f088fc507bc9510cf35a352ff364c3908c06d43c92ee91f4bf,172,94,Enfermeiro,9/13/1995
84,Tiago Martins,martinsmartim@example.org,9f18dbe3d070c6a8a136e1f82bea8b6769391f89afd0a24bca66a4c68ecca25a,189,106,Designer,9/19/1998
85,Edgar Carneiro Cruz,kevimgoncalves@example.org,671b054d98e8ac2fdbacacbed0ef5738cf2d50a3760955102ded74551527d76f,170,102,Designer,1/4/1981
86,Erica Domingues,nlopes@example.com,a86c41393aad84535037fb84c42b0337b6fff4dcf0dedb5600ea66e237d1ec29,165,55,Engenheiro,8/27/1981
87,Gabriela Alves,nunescarminho@example.org,bb76eee6231de6a5299bab4bd7b38fd93ddd8e98d309c57f0dd3717deaa185e4,194,77,Dentista,12/17/1977
88,Cristiano Ramos,zpinto@example.org,bd7cacc60c22fd1be92d6517672eacb74732a3f346d65a39867237a9b987897a,167,77,Gestor,2/18/1958
89,Eva do Ribeiro,guerreironair@example.org,692b0b709e8a285a9838ac16fe421d75c0a5b0307d8641bcc8585d252e63fecf,196,93,Gestor,9/30/2002
90,F·bio Coelho,mirandamatilde@example.com,215ca8b4c538e40cc3e21f103ad42d3e1ae565df18c4eba53779b3fa754e6423,173,93,Engenheiro,2/5/1964
91,Enzo Cardoso,ruisantos@example.net,db2b3676b452ac0de5c4fd18e35f604515f9177d5af17f68a5c0dd3bd136e81b,175,69,Estudante,8/13/1962
92,Angela Abreu,pinheirofrancisca@example.net,cc044514e6ecaa3bd7c374fc2792c1fa8296fffcd4ea72a4763a52348b9ffea2,174,79,Professor,9/9/1996
93,Miguel Borges,ccastro@example.net,b0e0f699d396ea0b0eff8507a745782ef692733a017ed84f5d1d2b3db577e947,194,60,Estudante,4/13/1970
94,Isabela Carvalho,manuel54@example.com,c95d743f4299ff2667d6fe9a85b8372daf82724e280a9a47066873e7f789bbe3,190,107,PolÌcia,6/12/1978
95,Erica de Fonseca,afonso09@example.com,695af3b54cb5846784eafcbe5258088e619f3aac3f47817ece62e67af0a34d7e,178,104,PsicÛlogo,10/9/1959
96,LetÌcia Teixeira,barbosafrancisco@example.net,c97a45d22b10b279054086cb1dc4c390dd067f7a89460d3de5e22a838d3343a0,164,77,Arquiteto,4/13/1972
97,Micael Leal,amaralrafael@example.net,633f689a6849edf381840c202409bafe93c880a80cd0f8c368b7b51ebc5bd9d8,194,74,Advogado,6/10/1978
98, Maria Torres,barbarabatista@example.com,1df3b025aafa3a113e0158d79c01d967a9def60262f3af5c10367465370e5a09,150,88,Motorista,10/19/1959
99,GonÁalo Moura,carlota72@example.com,7272f24421d0bd4a79a305ba3bf82994542b4c9cacdcdc42625d8145f7cb150d,174,82,Arquiteto,6/15/2005
100,Bianca Leite,machadobianca@example.com,7048aec9733025e989ca80550ab790e729ab67d8132a7494ebdd085ebf3c3feb,156,50,Estudante,9/25/1998
